,Date,Open,High,Low,Close,Volume
,"Sep 13, 2018",157.57,158.26,155.49,157.19,"296,460"
,"Sep 14, 2018",157.50,157.51,155.53,156.71,"342,626"
,"Sep 17, 2018",156.36,157.99,155.39,157.24,"189,806"
,"Sep 18, 2018",157.10,157.10,154.67,155.87,"351,882"
,"Sep 19, 2018",155.30,158.19,155.30,157.56,"200,573"
,"Sep 20, 2018",158.00,158.00,155.78,157.46,"242,895"
,"Sep 21, 2018",157.35,157.68,155.49,155.80,"520,292"
,"Sep 24, 2018",155.27,155.79,152.67,153.25,"302,581"
,"Sep 25, 2018",153.38,154.91,152.48,153.91,"259,957"
,"Sep 26, 2018",153.98,155.00,153.02,154.39,"156,591"
,"Sep 27, 2018",154.29,156.70,154.18,155.44,"182,615"
,"Sep 28, 2018",154.77,155.00,151.14,151.34,"319,974"
,"Oct 1, 2018",152.14,152.95,151.57,151.70,"117,261"
,"Oct 2, 2018",151.71,151.71,149.19,150.24,"171,609"
,"Oct 3, 2018",150.25,152.96,150.25,152.86,"268,564"
,"Oct 4, 2018",152.65,152.79,151.00,151.25,"280,653"
,"Oct 5, 2018",151.36,152.69,149.56,151.41,"216,211"
,"Oct 9, 2018",150.83,151.72,149.83,150.03,"187,676"
,"Oct 10, 2018",150.00,150.66,148.15,148.65,"247,800"
,"Oct 11, 2018",147.51,149.72,146.08,146.53,"197,134"
,"Oct 12, 2018",147.50,149.04,146.69,147.10,"263,272"
,"Oct 15, 2018",147.20,148.32,146.77,147.35,"145,190"
,"Oct 16, 2018",148.01,148.62,147.34,148.53,"162,797"
,"Oct 17, 2018",148.45,149.61,147.01,149.14,"177,684"
,"Oct 18, 2018",149.21,149.88,147.46,147.78,"202,332"
,"Oct 19, 2018",147.89,151.61,147.89,150.43,"276,692"
,"Oct 22, 2018",150.38,151.92,148.60,150.73,"262,121"
,"Oct 23, 2018",149.51,150.20,147.39,149.97,"169,848"
,"Oct 24, 2018",149.90,150.88,147.58,147.72,"205,551"
,"Oct 25, 2018",148.50,150.18,147.19,149.10,"216,496"
,"Oct 26, 2018",148.30,148.89,145.23,148.06,"203,268"
,"Oct 29, 2018",148.86,151.34,148.47,149.71,"186,423"
,"Oct 30, 2018",148.57,148.83,145.94,147.19,"215,220"
,"Oct 31, 2018",147.68,149.37,146.70,148.14,"311,352"
,"Nov 1, 2018",148.04,152.80,147.93,150.96,"312,140"
,"Nov 2, 2018",151.02,151.56,148.20,149.35,"288,962"
,"Nov 5, 2018",149.04,151.43,149.00,149.88,"281,325"
,"Nov 6, 2018",149.90,151.25,147.72,149.49,"250,603"
,"Nov 7, 2018",150.44,150.88,147.07,149.85,"345,234"
,"Nov 8, 2018",158.89,167.40,158.89,166.10,"756,622"
,"Nov 9, 2018",165.01,165.75,162.00,162.64,"358,848"
,"Nov 12, 2018",162.64,164.58,158.00,158.00,"503,222"
,"Nov 13, 2018",158.23,159.78,157.50,157.79,"286,188"
,"Nov 14, 2018",158.66,159.28,153.25,155.05,"297,284"
,"Nov 15, 2018",154.92,154.97,152.08,152.70,"278,304"
,"Nov 16, 2018",152.24,153.16,151.00,152.68,"249,275"
,"Nov 19, 2018",152.43,154.17,152.07,152.60,"209,139"
,"Nov 20, 2018",151.75,151.75,148.36,149.23,"261,578"
,"Nov 21, 2018",149.85,152.70,148.72,148.90,"295,637"
,"Nov 22, 2018",148.90,151.16,148.73,148.73,"75,674"
,"Nov 23, 2018",149.00,151.14,149.00,150.82,"158,186"
