,Date,Open,High,Low,Close,Volume
,"Sep 13, 2018",84.88,85.51,83.92,84.42,"589,973"
,"Sep 14, 2018",84.72,84.84,83.90,84.53,"542,288"
,"Sep 17, 2018",84.34,84.56,83.50,84.00,"556,837"
,"Sep 18, 2018",83.97,84.97,83.58,83.69,"536,700"
,"Sep 19, 2018",83.80,84.83,83.79,84.00,"500,795"
,"Sep 20, 2018",84.11,85.08,83.76,84.22,"411,085"
,"Sep 21, 2018",84.33,85.23,83.88,84.13,"1,256,127"
,"Sep 24, 2018",83.58,84.99,83.49,84.94,"579,657"
,"Sep 25, 2018",86.70,88.00,84.97,85.03,"779,475"
,"Sep 26, 2018",85.31,86.42,84.11,85.51,"566,115"
,"Sep 27, 2018",85.25,86.57,83.80,83.93,"698,802"
,"Sep 28, 2018",83.55,84.35,83.39,83.83,"665,821"
,"Oct 1, 2018",82.86,83.93,82.30,82.96,"686,911"
,"Oct 2, 2018",83.00,83.27,82.16,82.25,"452,623"
,"Oct 3, 2018",82.40,84.10,81.95,83.65,"648,753"
,"Oct 4, 2018",84.03,84.72,83.50,83.64,"388,449"
,"Oct 5, 2018",83.65,84.24,82.97,83.52,"260,738"
,"Oct 8, 2018",83.36,84.40,83.28,84.06,"269,813"
,"Oct 9, 2018",83.90,84.83,83.14,84.22,"679,267"
,"Oct 10, 2018",84.07,84.49,82.58,82.87,"622,755"
,"Oct 11, 2018",82.65,82.95,81.55,82.00,"669,782"
,"Oct 12, 2018",82.53,82.74,81.50,82.09,"476,487"
,"Oct 15, 2018",81.89,82.39,81.48,82.02,"319,090"
,"Oct 16, 2018",82.14,83.24,81.64,82.90,"294,121"
,"Oct 17, 2018",83.00,83.00,81.42,82.13,"367,097"
,"Oct 18, 2018",81.86,81.95,79.90,79.97,"612,672"
,"Oct 19, 2018",79.67,80.86,77.48,77.92,"813,670"
,"Oct 22, 2018",78.28,79.30,77.35,77.77,"660,294"
,"Oct 23, 2018",77.28,78.45,76.31,76.38,"520,080"
,"Oct 24, 2018",76.25,77.10,75.09,75.18,"651,790"
,"Oct 25, 2018",75.43,77.02,75.16,75.72,"336,227"
,"Oct 26, 2018",76.25,78.80,75.50,78.31,"1,407,230"
,"Oct 29, 2018",78.78,78.94,75.98,76.61,"732,836"
,"Oct 30, 2018",76.67,79.40,76.50,79.36,"447,798"
,"Oct 31, 2018",80.10,80.10,78.50,78.93,"392,982"
,"Nov 1, 2018",79.10,79.69,78.52,79.00,"640,254"
,"Nov 2, 2018",79.99,81.89,78.93,79.74,"515,955"
,"Nov 5, 2018",79.75,80.84,79.75,79.96,"517,718"
,"Nov 6, 2018",79.70,80.49,79.52,80.08,"488,796"
,"Nov 7, 2018",80.25,80.72,79.78,80.49,"319,998"
,"Nov 8, 2018",80.16,82.26,80.05,80.75,"408,476"
,"Nov 9, 2018",80.13,80.75,79.86,80.21,"349,403"
,"Nov 12, 2018",80.53,83.14,80.53,80.67,"548,996"
,"Nov 13, 2018",80.96,82.04,80.61,81.65,"309,624"
,"Nov 14, 2018",81.51,82.70,80.15,80.19,"399,980"
,"Nov 15, 2018",80.00,80.36,77.94,79.17,"445,101"
,"Nov 16, 2018",78.68,80.79,78.68,80.64,"528,921"
,"Nov 19, 2018",81.67,82.11,78.64,79.64,"993,693"
,"Nov 20, 2018",81.38,85.66,78.64,84.61,"1,917,371"
,"Nov 21, 2018",84.21,88.33,83.72,85.77,"881,709"
,"Nov 23, 2018",85.74,87.62,85.09,87.61,"271,589"
,"Nov 26, 2018",88.03,88.03,85.05,85.30,"688,870"
,"Nov 27, 2018",85.20,85.67,83.30,83.54,"490,087"
,"Nov 28, 2018",83.64,84.56,83.42,83.59,"386,828"
,"Nov 29, 2018",83.64,90.49,81.87,88.54,"2,951,785"
,"Nov 30, 2018",87.66,88.90,86.17,88.69,"899,933"
,"Dec 3, 2018",88.49,88.97,85.70,87.66,"541,972"
,"Dec 4, 2018",87.10,87.65,85.51,86.46,"466,836"
,"Dec 6, 2018",86.32,87.35,82.33,83.01,"1,217,865"
,"Dec 7, 2018",82.56,83.68,82.12,83.14,"696,627"
,"Dec 10, 2018",83.57,85.68,82.73,83.36,"693,249"
,"Dec 11, 2018",84.29,84.52,82.59,83.12,"560,334"
,"Dec 12, 2018",83.31,85.91,81.91,82.29,"531,021"
,"Dec 13, 2018",82.68,84.51,81.90,82.50,"494,040"
,"Dec 14, 2018",82.51,82.68,79.75,80.33,"623,327"
,"Dec 17, 2018",84.99,85.98,81.64,82.03,"1,495,821"
,"Dec 18, 2018",82.80,83.99,81.88,81.96,"742,148"
,"Dec 19, 2018",81.87,82.54,79.38,80.40,"881,021"
,"Dec 20, 2018",80.41,80.82,76.86,77.33,"686,066"
,"Dec 21, 2018",77.44,79.46,76.90,77.06,"828,080"
,"Dec 24, 2018",77.04,77.04,74.19,75.53,"333,947"
,"Dec 26, 2018",75.96,76.97,74.56,76.87,"467,057"
,"Dec 27, 2018",76.39,77.35,74.85,77.20,"451,285"
,"Dec 28, 2018",76.96,77.93,75.99,77.12,"279,930"
,"Dec 31, 2018",77.27,78.00,76.54,77.63,"365,174"
,"Jan 2, 2019",76.99,78.10,76.10,78.00,"456,111"
,"Jan 3, 2019",77.47,79.60,76.72,78.63,"445,984"
,"Jan 4, 2019",79.41,81.10,78.02,80.57,"609,032"
,"Jan 7, 2019",80.43,83.28,80.27,81.44,"641,898"
,"Jan 8, 2019",81.66,82.33,79.84,80.90,"530,575"
,"Jan 9, 2019",80.87,81.75,79.97,81.20,"307,673"
,"Jan 10, 2019",81.09,81.54,79.27,80.88,"830,175"
,"Jan 11, 2019",80.68,81.99,80.10,81.35,"767,060"
,"Jan 14, 2019",81.19,81.59,80.00,81.05,"312,364"
,"Jan 15, 2019",81.00,81.95,77.77,78.62,"1,183,475"
,"Jan 16, 2019",78.79,80.15,78.19,78.56,"495,932"
,"Jan 17, 2019",78.13,79.67,76.99,79.32,"561,184"
,"Jan 18, 2019",79.71,81.71,79.28,81.14,"592,496"
,"Jan 22, 2019",80.84,81.99,79.63,80.30,"474,695"
,"Jan 23, 2019",80.79,82.99,79.02,80.62,"604,954"
,"Jan 24, 2019",80.90,82.88,80.60,82.54,"324,237"
,"Jan 25, 2019",82.94,83.62,81.85,82.74,"286,678"
,"Jan 28, 2019",82.41,83.55,82.04,83.32,"305,670"
,"Jan 29, 2019",83.66,83.66,81.00,81.07,"421,519"
,"Jan 30, 2019",81.48,82.33,80.90,81.40,"436,211"
,"Jan 31, 2019",81.36,82.05,80.51,80.95,"332,806"
,"Feb 1, 2019",81.11,82.02,79.59,79.95,"352,445"
,"Feb 4, 2019",79.95,80.94,79.93,80.61,"287,705"
,"Feb 5, 2019",80.66,82.15,80.61,81.98,"251,890"
,"Feb 6, 2019",81.98,82.95,81.33,82.43,"228,022"
,"Feb 7, 2019",82.20,83.29,81.10,82.84,"269,018"
,"Feb 8, 2019",82.60,82.99,81.89,82.94,"219,089"
,"Feb 11, 2019",83.15,84.91,82.90,84.84,"436,922"
,"Feb 12, 2019",85.18,85.32,83.21,83.23,"351,726"
,"Feb 13, 2019",83.42,84.26,82.74,84.05,"272,089"
,"Feb 14, 2019",83.24,83.96,78.00,79.61,"2,099,589"
,"Feb 15, 2019",79.74,81.02,79.44,80.27,"598,024"
,"Feb 19, 2019",80.26,81.62,79.57,80.93,"494,976"
,"Feb 20, 2019",81.42,81.68,78.00,78.82,"1,241,071"
,"Feb 21, 2019",83.07,83.07,77.78,79.22,"2,037,076"
,"Feb 22, 2019",78.76,81.91,78.49,81.23,"1,044,319"
,"Feb 25, 2019",81.50,81.62,79.31,79.71,"644,321"
,"Feb 26, 2019",79.45,80.03,79.07,79.49,"775,649"
,"Feb 27, 2019",79.18,80.42,78.52,79.68,"723,584"
,"Feb 28, 2019",79.74,80.90,79.00,80.54,"441,758"
,"Mar 1, 2019",80.64,81.57,79.01,79.18,"388,235"
,"Mar 4, 2019",79.57,80.55,78.85,79.10,"586,450"
,"Mar 5, 2019",79.10,79.51,78.52,78.93,"466,673"
,"Mar 6, 2019",79.38,79.38,77.23,77.94,"635,254"
,"Mar 7, 2019",77.67,78.03,76.95,77.09,"392,581"
,"Mar 8, 2019",76.88,77.61,76.59,76.87,"423,894"
,"Mar 11, 2019",77.04,77.86,76.78,77.17,"496,446"
,"Mar 12, 2019",77.08,77.51,76.11,76.17,"431,306"
,"Mar 13, 2019",76.33,78.02,75.80,77.96,"611,321"
,"Mar 14, 2019",77.75,77.93,76.96,77.19,"357,484"
,"Mar 15, 2019",77.04,78.36,77.00,77.61,"1,008,306"
,"Mar 18, 2019",77.96,78.61,77.45,78.60,"450,666"
,"Mar 19, 2019",78.61,78.61,77.65,77.88,"465,875"
,"Mar 20, 2019",77.72,77.72,76.55,76.81,"272,007"
,"Mar 21, 2019",76.61,77.35,76.33,77.01,"380,521"
,"Mar 22, 2019",77.01,77.78,76.54,77.19,"400,053"
,"Mar 25, 2019",77.05,77.80,76.01,77.49,"444,896"
,"Mar 26, 2019",77.61,79.24,77.61,78.83,"368,844"
,"Mar 27, 2019",79.60,80.97,79.23,80.47,"626,895"
,"Mar 28, 2019",80.41,80.94,79.96,80.82,"316,446"
,"Mar 29, 2019",81.00,81.52,80.56,81.06,"398,881"
,"Apr 1, 2019",81.10,81.87,80.46,80.79,"383,239"
,"Apr 2, 2019",80.66,81.17,79.81,80.92,"353,418"
,"Apr 3, 2019",81.26,81.42,80.31,80.84,"468,092"
,"Apr 4, 2019",81.00,81.66,80.34,81.34,"359,784"
,"Apr 5, 2019",81.56,82.56,81.45,82.18,"353,754"
,"Apr 8, 2019",81.81,82.18,80.10,80.31,"505,466"
,"Apr 9, 2019",80.52,81.31,80.21,80.60,"354,305"
,"Apr 10, 2019",80.60,81.16,79.51,79.71,"278,188"
,"Apr 11, 2019",79.74,79.81,77.97,79.01,"721,319"
,"Apr 12, 2019",79.43,79.58,78.25,78.71,"613,935"
,"Apr 15, 2019",78.76,79.24,78.00,78.08,"610,128"
,"Apr 16, 2019",78.00,78.35,76.98,77.79,"596,535"
,"Apr 17, 2019",77.79,78.30,77.50,77.73,"445,250"
,"Apr 18, 2019",77.51,78.39,77.51,78.00,"400,232"
,"Apr 22, 2019",78.14,78.14,77.10,77.49,"309,938"
,"Apr 23, 2019",77.53,77.82,77.06,77.49,"331,549"
,"Apr 24, 2019",77.67,79.00,77.33,77.69,"313,070"
,"Apr 25, 2019",77.64,78.27,76.80,77.75,"284,037"
,"Apr 26, 2019",77.39,77.74,76.72,77.32,"560,808"
,"Apr 29, 2019",77.31,78.00,76.90,77.80,"373,451"
,"Apr 30, 2019",77.88,77.88,76.80,77.10,"440,050"
