,Date,Open,High,Low,Close,Volume
,"Sep 13, 2018",58.63,59.33,58.15,58.94,"6,829,443"
,"Sep 14, 2018",59.21,59.72,58.76,59.53,"3,383,538"
,"Sep 17, 2018",59.69,59.92,59.09,59.72,"1,942,649"
,"Sep 18, 2018",59.74,59.88,58.42,59.39,"2,971,535"
,"Sep 19, 2018",59.38,59.63,59.09,59.32,"1,919,958"
,"Sep 20, 2018",59.50,60.67,59.30,60.38,"3,049,184"
,"Sep 21, 2018",60.15,60.87,59.82,59.85,"6,213,527"
,"Sep 24, 2018",59.48,59.55,57.59,58.30,"3,128,769"
,"Sep 25, 2018",58.47,58.47,57.72,57.93,"1,780,526"
,"Sep 26, 2018",58.17,58.89,57.85,58.31,"2,492,968"
,"Sep 27, 2018",58.29,59.13,58.11,58.32,"2,560,193"
,"Sep 28, 2018",58.30,58.77,58.11,58.28,"2,507,251"
,"Oct 1, 2018",58.68,58.77,57.17,57.36,"2,294,820"
,"Oct 2, 2018",57.24,57.41,56.18,57.19,"4,635,001"
,"Oct 3, 2018",57.39,57.79,56.39,56.67,"2,736,225"
,"Oct 4, 2018",56.46,56.81,55.58,55.97,"3,088,862"
,"Oct 5, 2018",56.44,56.84,55.88,56.19,"2,898,397"
,"Oct 8, 2018",56.10,56.79,56.05,56.49,"2,376,610"
,"Oct 9, 2018",56.67,56.99,56.42,56.55,"2,470,624"
,"Oct 10, 2018",56.28,56.28,53.78,53.90,"3,379,568"
,"Oct 11, 2018",54.05,54.39,52.75,52.83,"2,928,040"
,"Oct 12, 2018",52.89,53.96,52.50,53.29,"2,675,809"
,"Oct 15, 2018",52.24,52.85,51.68,52.20,"2,687,074"
,"Oct 16, 2018",52.44,53.25,52.10,53.10,"2,642,686"
,"Oct 17, 2018",52.99,53.10,52.24,52.63,"2,947,339"
,"Oct 18, 2018",52.46,52.91,51.50,51.83,"3,537,943"
,"Oct 19, 2018",52.13,52.92,52.06,52.11,"2,820,247"
,"Oct 22, 2018",52.17,52.63,52.01,52.09,"2,262,936"
,"Oct 23, 2018",51.62,53.06,51.11,52.64,"4,085,937"
,"Oct 24, 2018",52.42,53.26,51.90,52.02,"4,419,375"
,"Oct 25, 2018",51.98,53.04,51.07,52.51,"3,743,684"
,"Oct 26, 2018",51.65,52.03,50.70,51.05,"3,802,989"
,"Oct 29, 2018",51.69,52.03,50.47,51.32,"3,311,445"
,"Oct 30, 2018",51.76,53.04,51.62,52.97,"3,431,589"
,"Oct 31, 2018",53.21,53.53,52.63,52.85,"3,156,192"
,"Nov 1, 2018",53.00,54.59,52.86,54.45,"3,075,340"
,"Nov 2, 2018",54.59,55.06,53.52,54.10,"3,373,348"
,"Nov 5, 2018",54.35,54.77,53.98,54.71,"2,542,794"
,"Nov 6, 2018",54.62,55.11,54.23,54.79,"2,017,612"
,"Nov 7, 2018",55.26,55.92,54.71,55.91,"4,988,718"
,"Nov 8, 2018",49.66,54.75,49.42,54.14,"14,136,897"
,"Nov 9, 2018",54.96,57.13,54.30,56.84,"5,340,990"
,"Nov 12, 2018",56.56,56.70,54.68,54.75,"5,011,099"
,"Nov 13, 2018",54.78,55.96,54.52,55.78,"2,757,922"
,"Nov 14, 2018",56.11,56.21,54.21,54.49,"3,849,377"
,"Nov 15, 2018",54.40,55.30,54.18,55.30,"2,837,950"
,"Nov 16, 2018",55.34,56.13,55.23,55.77,"2,202,305"
,"Nov 19, 2018",55.89,57.23,55.84,57.04,"4,079,911"
,"Nov 20, 2018",57.68,58.49,55.70,55.78,"4,630,280"
,"Nov 21, 2018",55.95,56.57,55.54,56.03,"3,513,192"
,"Nov 23, 2018",55.89,57.50,55.69,57.32,"1,782,933"
,"Nov 26, 2018",57.50,57.89,56.75,56.82,"4,391,431"
,"Nov 27, 2018",56.91,58.13,56.91,57.76,"3,327,935"
,"Nov 28, 2018",57.67,59.12,57.43,59.10,"3,139,026"
,"Nov 29, 2018",58.70,59.58,58.63,58.80,"2,677,567"
,"Nov 30, 2018",59.00,59.96,58.90,59.68,"2,856,030"
,"Dec 3, 2018",59.23,60.33,59.23,60.00,"3,473,172"
,"Dec 4, 2018",59.00,60.09,57.66,57.83,"5,522,303"
,"Dec 6, 2018",57.54,58.33,56.79,58.27,"4,617,158"
,"Dec 7, 2018",57.89,59.05,57.41,57.41,"3,688,063"
,"Dec 10, 2018",57.02,57.72,56.41,56.95,"3,804,330"
,"Dec 11, 2018",57.56,58.35,57.25,57.58,"3,847,278"
,"Dec 12, 2018",58.27,58.42,57.12,57.44,"3,056,725"
,"Dec 13, 2018",55.63,56.18,53.07,53.43,"4,248,879"
,"Dec 14, 2018",53.03,53.51,52.51,52.69,"3,614,636"
,"Dec 17, 2018",52.64,52.74,50.89,51.25,"3,235,695"
,"Dec 18, 2018",51.78,52.10,50.63,51.23,"3,229,723"
,"Dec 19, 2018",51.28,51.71,49.18,49.44,"3,160,436"
,"Dec 20, 2018",49.45,49.75,48.60,49.21,"3,304,185"
,"Dec 21, 2018",49.34,50.18,48.16,48.23,"5,869,922"
,"Dec 24, 2018",48.25,48.78,47.76,47.95,"1,998,929"
,"Dec 26, 2018",48.11,49.11,47.74,49.10,"3,738,474"
,"Dec 27, 2018",48.54,49.45,47.81,49.44,"2,468,260"
,"Dec 28, 2018",49.52,49.78,48.44,49.04,"2,801,508"
,"Dec 31, 2018",49.13,49.38,48.79,49.22,"2,261,460"
,"Jan 2, 2019",48.56,48.86,48.17,48.76,"3,750,762"
,"Jan 3, 2019",48.40,49.11,47.84,48.00,"5,763,295"
,"Jan 4, 2019",48.51,49.84,48.44,49.79,"4,035,346"
,"Jan 7, 2019",49.40,50.07,49.17,49.73,"3,326,143"
,"Jan 8, 2019",51.74,53.05,51.40,52.83,"6,029,714"
,"Jan 9, 2019",53.07,54.02,52.80,53.33,"6,238,409"
,"Jan 10, 2019",53.25,53.30,51.88,53.26,"6,413,924"
,"Jan 11, 2019",53.27,54.42,52.85,54.37,"3,970,517"
,"Jan 14, 2019",53.82,54.43,53.46,54.15,"3,077,781"
,"Jan 15, 2019",54.19,54.96,54.05,54.76,"2,269,184"
,"Jan 16, 2019",54.41,54.76,53.51,53.81,"3,375,473"
,"Jan 17, 2019",53.90,54.67,53.89,54.27,"2,564,768"
,"Jan 18, 2019",54.85,55.80,54.52,55.58,"3,983,788"
,"Jan 22, 2019",55.35,55.54,54.52,55.48,"2,825,956"
,"Jan 23, 2019",55.38,55.76,54.85,55.18,"2,970,513"
,"Jan 24, 2019",55.10,55.62,54.93,55.36,"3,008,631"
,"Jan 25, 2019",55.77,56.25,55.69,55.85,"1,847,403"
,"Jan 28, 2019",55.54,55.81,55.06,55.56,"1,865,928"
,"Jan 29, 2019",55.73,55.89,55.19,55.48,"1,508,335"
,"Jan 30, 2019",55.55,56.38,55.35,56.22,"2,000,485"
,"Jan 31, 2019",56.24,57.33,56.12,57.24,"2,730,833"
,"Feb 1, 2019",57.38,58.00,57.13,57.95,"3,013,346"
,"Feb 4, 2019",58.01,58.20,57.47,58.18,"4,462,023"
,"Feb 5, 2019",58.34,58.58,57.41,57.61,"5,050,276"
,"Feb 6, 2019",57.43,57.66,57.27,57.36,"2,696,278"
,"Feb 7, 2019",57.15,57.76,56.93,57.43,"1,627,699"
,"Feb 8, 2019",57.18,57.89,57.12,57.89,"1,535,684"
,"Feb 11, 2019",57.94,58.32,57.80,58.00,"1,516,733"
,"Feb 12, 2019",57.98,59.12,57.98,58.89,"2,214,118"
,"Feb 13, 2019",59.01,59.39,58.95,59.31,"1,724,311"
,"Feb 14, 2019",58.81,59.18,58.00,58.63,"2,956,840"
,"Feb 15, 2019",59.00,59.22,58.58,58.72,"2,613,227"
,"Feb 19, 2019",58.50,58.65,57.93,58.23,"3,420,255"
,"Feb 20, 2019",58.38,59.10,58.21,58.70,"2,736,173"
,"Feb 21, 2019",58.46,59.73,58.30,58.88,"2,856,149"
,"Feb 22, 2019",58.80,59.19,58.21,58.44,"2,560,205"
,"Feb 25, 2019",59.08,59.14,58.27,58.54,"2,430,009"
,"Feb 26, 2019",58.61,59.05,58.42,58.74,"1,785,051"
,"Feb 27, 2019",58.33,58.83,57.91,58.74,"5,123,420"
,"Feb 28, 2019",63.22,66.38,63.22,63.83,"10,474,063"
,"Mar 1, 2019",64.37,64.98,63.25,64.74,"3,850,413"
,"Mar 4, 2019",64.77,65.57,64.29,65.02,"3,585,757"
,"Mar 5, 2019",64.50,64.50,62.51,62.62,"5,124,386"
,"Mar 6, 2019",62.73,63.10,61.51,61.74,"4,753,392"
,"Mar 7, 2019",62.00,62.60,61.23,61.59,"5,391,930"
,"Mar 8, 2019",61.23,61.48,60.08,60.61,"2,963,242"
,"Mar 11, 2019",60.50,61.32,60.45,61.19,"4,192,734"
,"Mar 12, 2019",60.74,60.99,59.47,60.23,"5,498,588"
,"Mar 13, 2019",60.11,60.58,59.39,59.77,"3,893,038"
,"Mar 14, 2019",59.70,60.17,59.57,59.67,"4,135,382"
,"Mar 15, 2019",60.00,61.08,59.87,60.27,"6,261,280"
,"Mar 18, 2019",60.33,61.15,60.28,60.60,"3,055,709"
,"Mar 19, 2019",58.88,58.99,57.53,57.92,"6,599,661"
,"Mar 20, 2019",56.83,57.55,56.30,56.50,"9,131,583"
,"Mar 21, 2019",56.65,56.84,54.17,54.20,"11,709,673"
,"Mar 22, 2019",54.21,54.45,52.94,53.51,"8,341,034"
,"Mar 25, 2019",53.52,54.82,53.41,54.55,"6,387,888"
,"Mar 26, 2019",54.73,55.68,54.71,55.62,"8,288,697"
,"Mar 27, 2019",55.43,55.78,54.56,54.88,"3,716,925"
,"Mar 28, 2019",54.79,55.33,54.37,54.46,"4,523,207"
,"Mar 29, 2019",54.55,54.84,53.74,54.58,"4,901,527"
,"Apr 1, 2019",54.38,54.87,53.05,53.28,"5,337,571"
,"Apr 2, 2019",52.99,54.19,52.23,53.33,"7,487,325"
,"Apr 3, 2019",53.50,53.91,52.45,52.59,"4,976,451"
,"Apr 4, 2019",52.76,53.12,52.42,52.87,"3,448,412"
,"Apr 5, 2019",53.23,53.80,52.73,52.88,"3,193,236"
,"Apr 8, 2019",53.07,53.40,52.75,53.07,"3,207,823"
,"Apr 9, 2019",53.03,54.74,53.03,54.69,"6,231,649"
,"Apr 10, 2019",54.70,55.16,54.18,54.97,"5,641,444"
,"Apr 11, 2019",55.17,55.38,53.86,54.75,"8,057,157"
,"Apr 12, 2019",54.75,54.83,52.57,53.02,"6,158,290"
,"Apr 15, 2019",53.00,54.46,53.00,54.07,"3,030,728"
,"Apr 16, 2019",54.09,55.20,53.79,54.20,"4,219,083"
,"Apr 17, 2019",54.36,55.07,54.29,54.89,"3,962,782"
,"Apr 18, 2019",55.23,55.42,54.80,55.20,"4,216,261"
,"Apr 22, 2019",55.04,55.39,54.75,54.97,"2,591,648"
,"Apr 23, 2019",54.99,56.26,54.99,56.23,"4,652,104"
,"Apr 24, 2019",56.39,57.15,56.35,56.82,"3,668,821"
,"Apr 25, 2019",56.26,58.07,55.78,57.90,"4,615,936"
,"Apr 26, 2019",58.33,59.69,58.33,59.65,"5,413,315"
,"Apr 29, 2019",59.46,59.57,58.68,58.69,"4,253,471"
,"Apr 30, 2019",59.18,59.86,59.00,59.60,"4,565,229"
,"May 1, 2019",59.48,59.48,57.87,57.94,"3,636,510"
,"May 2, 2019",57.99,58.99,57.44,57.99,"4,844,704"
,"May 3, 2019",62.90,64.11,61.26,63.11,"9,902,683"
,"May 6, 2019",62.05,62.78,61.36,62.62,"2,938,051"
,"May 7, 2019",62.13,62.33,61.17,61.60,"3,709,110"
,"May 8, 2019",61.47,61.93,61.16,61.68,"3,259,040"
,"May 9, 2019",61.16,62.27,60.74,61.92,"2,777,935"
,"May 10, 2019",61.60,63.16,61.53,63.00,"3,587,704"
,"May 13, 2019",62.22,62.60,61.81,62.34,"3,274,554"
,"May 14, 2019",62.10,62.68,61.53,62.35,"3,035,604"
,"May 15, 2019",62.25,63.22,62.06,63.07,"2,950,397"
,"May 16, 2019",63.07,64.17,63.07,63.93,"2,669,649"
,"May 17, 2019",63.87,64.07,63.52,63.63,"1,900,007"
,"May 20, 2019",63.46,63.74,63.15,63.61,"2,113,398"
,"May 21, 2019",63.86,64.01,63.27,63.74,"1,772,540"
,"May 22, 2019",63.70,64.25,63.31,64.00,"2,715,211"
,"May 23, 2019",63.48,63.92,63.00,63.23,"2,279,936"
,"May 24, 2019",63.34,63.69,62.75,63.42,"1,411,781"
,"May 28, 2019",63.35,63.82,62.22,62.27,"3,015,553"
,"May 29, 2019",62.51,62.66,61.61,61.76,"2,842,960"
,"May 30, 2019",62.00,62.43,61.77,62.28,"1,509,093"
,"May 31, 2019",61.95,62.84,61.80,61.86,"2,623,263"
,"Jun 3, 2019",62.04,63.07,62.04,62.81,"2,568,164"
,"Jun 4, 2019",63.48,63.49,62.22,62.87,"2,897,503"
,"Jun 5, 2019",63.50,64.28,63.34,64.03,"3,939,265"
,"Jun 6, 2019",64.20,64.26,63.46,63.84,"2,598,966"
,"Jun 7, 2019",64.35,66.36,64.27,65.92,"6,757,968"
,"Jun 10, 2019",65.86,66.29,65.30,65.75,"3,033,253"
,"Jun 11, 2019",66.01,66.14,64.16,64.50,"3,890,326"
,"Jun 12, 2019",64.64,65.11,63.93,64.08,"1,992,502"
,"Jun 13, 2019",64.08,64.39,60.57,60.60,"5,778,881"
,"Jun 14, 2019",60.81,62.13,60.81,61.33,"3,756,874"
,"Jun 17, 2019",61.48,62.45,61.21,61.92,"3,933,882"
,"Jun 18, 2019",62.61,62.81,61.96,62.12,"2,238,082"
,"Jun 19, 2019",61.98,62.50,61.23,62.36,"1,873,926"
,"Jun 20, 2019",62.93,63.62,62.74,63.52,"2,217,421"
,"Jun 21, 2019",63.50,63.92,63.07,63.78,"3,557,731"
,"Jun 24, 2019",63.90,64.13,63.51,63.56,"1,793,038"
,"Jun 25, 2019",63.93,63.93,63.23,63.33,"1,711,477"
,"Jun 26, 2019",63.75,64.14,63.41,63.60,"2,137,989"
,"Jun 27, 2019",63.53,63.88,63.33,63.57,"2,655,318"
,"Jun 28, 2019",63.83,64.35,63.35,63.83,"2,905,117"
,"Jul 1, 2019",63.10,64.83,63.05,64.77,"2,410,028"
,"Jul 2, 2019",65.01,65.34,64.31,64.65,"1,663,710"
,"Jul 3, 2019",65.02,66.05,64.71,65.95,"2,746,159"
,"Jul 5, 2019",64.85,65.93,64.85,65.92,"1,094,108"
,"Jul 8, 2019",65.89,66.17,65.39,66.00,"2,122,929"
,"Jul 9, 2019",65.70,65.74,64.34,64.76,"2,264,337"
,"Jul 10, 2019",64.96,65.56,64.80,65.03,"2,286,802"
,"Jul 11, 2019",65.10,65.10,64.19,64.80,"1,649,307"
,"Jul 12, 2019",64.88,65.24,64.39,65.00,"1,606,364"
,"Jul 15, 2019",65.22,65.70,65.04,65.26,"1,373,620"
,"Jul 16, 2019",65.10,65.86,65.03,65.79,"2,145,611"
